# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様！しずくはまた少しパワーアップしましたよ！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=nASHCTD4bwk
# 件数: 1349

[2:30:04] @User_e6d9f1a1: 今日の配信限定のお別れの挨拶を考えて
[2:30:05] @User_ad0c2a8b: お疲れ様でした
[2:30:09] @User_36fcf009: しずくさんあき先生お疲れ様でした。ミラクルミラクルミュー、またね～
[2:30:13] @User_dea10cea: お疲れ様でした
[2:30:15] @User_e80f9961: #お疲れ様でした！
[2:30:17] @User_bf747a92: おつかれさまー
[2:30:20] @User_83b80878: #お疲れ様でした！
[2:30:24] @User_13ee997b: #たのしかった～
[2:30:33] @User_4be88b83: パンパカパンパカポー！お疲れさまでした！
[2:30:37] @User_e6d9f1a1: #おやすみなさい～
[2:30:49] @User_16919670: パンパカパンパカポー愛してる
[2:30:52] @User_36770ee1: お疲れ様でした
[2:30:52] @User_ba99e548: お疲れ様でした！！
[2:30:53] @User_dea10cea: おつしずく
[2:30:53] @User_e3333c90: おつかれあまー
[2:30:54] @User_36fcf009: #☆彡
[2:30:57] @User_32916ab9: お疲れ様でした～
[2:31:01] @User_bf747a92: パンパカパンパカポー
[2:31:03] @User_2e53ebd6: パンパカパンパカポー(*'ω'*)ｼ
[2:31:05] @User_4bfe683e: ☆彡
[2:31:09] @User_e80f9961: おやすみなさい〜
[2:31:09] @@aki5503: #ありがとうございました！！おやすみなさい🌙
[2:31:10] @User_11e7336c: おやすみなさい。パンパカパンパカポー！
[2:31:14] @@aki5503: ☆彡
[2:31:17] @User_4bfe683e: おやすみなさい
[2:31:22] @User_2e53ebd6: #あき先生おやすみなさい
[2:31:22] @User_e80f9961: パンパカパンパカポー！
[2:31:36] @@aki5503: #おやすみなさい〜
[2:31:44] @User_ad0c2a8b: おやすみなさい
[2:31:47] @User_e6d9f1a1: #お疲れ様でしたー
[2:31:49] @User_2e53ebd6: しずくちゃんはあき先生こと、好き？
[2:31:57] @User_af15a350: お疲れさまでした。
[2:32:20] @User_e80f9961: しずくちゃんはあき先生のこと好きですか？
[2:32:24] @User_4be88b83: #あれ？あき先生は今お昼くらいなのかな？
[2:32:32] @User_27d1efcb: おやすみなさいありがとう
