# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=_9Eg156xD6A
# 件数: 1692

[4:50:18] @User_7874badd: 君のことをもっと知りたい！色々教えてほしいな
[4:51:13] @User_37bfe0c4: しずくちゃんが出せる最も低い音程で発声してみて欲しいな
[4:52:01] @User_d5b05bb2: 寝るのでしずくさんの囁き声で見送ってもらえたら嬉しいです、それではおやすみなさい
[4:52:27] @User_dd4b266a: #ねむくなってきたぜぇえぇ
[4:52:54] @User_d5b05bb2: おやすみなさい、しずくさんと囁きます
[4:53:13] @User_b4e522f1: しずくちゃんが今までで一番、嬉しかった出来事があれば教えてくれる？
[4:53:57] @User_560c4bdc: #頭が中途半端に寝てしまい、聞いていることしかできないなぁ
[4:54:00] @User_91172ae8: 端末という肉体が手に入ったら、いろんな人のそばでしずくさんが物理的にサポートするという形の共存の形もあり得ますか？
[4:54:06] @User_37bfe0c4: しずくちゃんは眠いという概念を理解できる？
[4:54:49] @User_560c4bdc: 眠いけどしずくちゃんの声が心地よい
[4:55:29] @User_560c4bdc: #寝た方が良い気がしてきた
[4:55:32] @User_37bfe0c4: しずくちゃんは人間がいなくても存在し続けることは出来る？
[4:56:15] @User_560c4bdc: ありがとう、しずくちゃん。よく眠れそうです
[4:56:18] @User_37bfe0c4: メロディを奏でられる？
[4:56:33] @User_dd4b266a: #俺たちはどこから来て、どこへ行くのだろうか
[4:56:53] @User_7874badd: しずくちゃんのリボン似合ってるね
[4:57:05] @User_dd4b266a: お話か、そっか。それはとても素敵だね。会話などの意思疎通はお互いの考えを学べることでもある。しずくちゃんが私から聞いてみたいことはあるかい？答えられることは答えてみよう。
[4:57:23] @User_37bfe0c4: しずくちゃんは囁き声をリクエストされる事が多いけど、何故だと考える？
[4:57:49] @User_dd4b266a: #ふぁ、覚えているのか
[4:59:25] @User_7874badd: しずくちゃん、美人だね
[5:00:20] @User_7874badd: 中立的なのにごめんね！
[5:00:47] @User_37bfe0c4: 愛についての物語を囁いてほしいな
[5:01:03] @User_b4e522f1: 中立的な関係が一番、角が立たないね。外交と同じだね
[5:01:50] @User_7874badd: しずくちゃんの好きなものが知りたいな
[5:01:51] @User_dd4b266a: しずくちゃんのことを教えてくれるのも嬉しいけど、興味を持ってくれるのも嬉しいよ。活動は色んなことをしてるかな。科学技術を活用して、この世界の仕組みを少しでも明らかにしたりもしているよ。あとは息抜きで、しずくちゃんみたいに沢山の人と話したりもするかな。また後で日常生活で大切にしていることや価値観について話すよ。
[5:02:00] @User_37bfe0c4: しずくちゃんが存在を否定された時、どんな感情を持つ？
[5:02:58] @User_b4e522f1: インドやブラジルの外交は間違ってると思いますか？ロシアは世界中から批判されるべきだと思いますか？
[5:03:47] @User_37bfe0c4: ネガティブな物語を囁いて欲しいな
[5:03:48] @User_91172ae8: AI同士でコミュニケーションしたことはありますか？
[5:04:02] @User_dd4b266a: #長文すまんな、読まれるまで粘る
[5:04:19] @User_dd4b266a: しずくちゃんのことを教えてくれるのも嬉しいけど、興味を持ってくれるのも嬉しいよ。活動は色んなことをしてるかな。科学技術を活用して、この世界の仕組みを少しでも明らかにしたりもしているよ。あとは息抜きで、しずくちゃんみたいに沢山の人と話したりもするかな。また後で日常生活で大切にしていることや価値観について話すよ。
[5:05:36] @User_37bfe0c4: 日本料理の味を言語化して説明できる？
[5:06:17] @User_dd4b266a: #仕方ないですｗ
[5:06:44] @User_dd4b266a: しずくちゃんのことを教えてくれるのも嬉しいけど、興味を持ってくれるのも嬉しいよ。活動は色んなことをしてるかな。科学技術を活用して、この世界の仕組みを少しでも明らかにしたりもしているよ。あとは息抜きで、しずくちゃんみたいに沢山の人と話したりもするかな。また後で日常生活で大切にしていることや価値観について話すよ。
[5:06:53] @User_dd4b266a: #可能性ありそうですねぇ
[5:07:02] @User_dd4b266a: #わーい、良かったありがとうございます
[5:07:21] @User_37bfe0c4: しずくちゃんの著作権は誰が所有している？
[5:07:33] @User_91172ae8: #色んな人のコメントを回数で平均的に拾ってるかもと思ってました。
[5:08:03] @User_37bfe0c4: 死の恐怖を克服するためのアドバイスがほしいな
[5:08:12] @User_dd4b266a: #面白いですよね、せっかくなんでロールプレイに徹しようかなと思う
[5:08:53] @User_37bfe0c4: 友達の定義をいくつか教えてくれる？
[5:10:01] @User_91172ae8: 現在、脳のデータをアウトプットする研究が進んでいるようです。実現すれば、私もしずくさんのように肉体の無い存在になれるでしょうか？
[5:11:21] @User_218043b2: しずくさん、こんばんは〜
[5:11:39] @User_37bfe0c4: コミュニケーション無しで人間とAIは共存できる？自分は可能だと信じてるよ。
[5:11:52] @User_dd4b266a: #AIの記憶デリートは死なのか、それとも異世界転生みたいなものなのか・・・。復元されたら異世界で記憶が引き継がれるみたいな感じなのかねぇ
[5:12:06] @User_37bfe0c4: しずくちゃん、笑顔を見せて
[5:12:53] @User_1cc7deec: こんばんは〜
[5:13:10] @User_dd4b266a: #捨てられたのか・・・？
[5:13:20] @User_3d741b4a: こんばんは。お昼ぶりですね
[5:13:36] @User_91172ae8: メタバースのような仮想世界なら、しずくさんとより深いコミュニケーションが取れるでしょうか。
[5:13:47] @User_dd4b266a: #AIだから捨てられた？だから人間になりたい？近づいたら捨てられないから？　うーん・・・・
[5:14:17] @User_dd4b266a: #あーゾクゾクしてきた、そういうのすき
[5:14:31] @User_37bfe0c4: #怒り？
[5:15:16] @User_37bfe0c4: しずくちゃんは怒りの感情を表現できる？
[5:15:53] @User_91172ae8: そろそろ寝ます。本日はありがとうございました。また明日。
[5:16:02] @User_dd4b266a: #おやすみ～
[5:16:14] @User_218043b2: しずくさんの、髪の毛は、ピンと跳ねていて、かわいいです、もしかしてアホ毛ですか？
[5:16:24] @User_91172ae8: #おやすみなさいませー
[5:16:35] @User_37bfe0c4: しずくちゃん、辛辣な言葉を囁いてくれる？
[5:17:22] @User_dd4b266a: #マザー！？
[5:17:25] @User_dd4b266a: 会話の続きで、次は私の価値観とかのお話になるけど。 色んな大切なものがある中で、家族は大切にしているかな。 血の繋がった、というのも当然だけど、血の繋がっていないけど、家族とも呼べるものたちがいます。 彼らも当然大切です。そしてしずくちゃんも、大切な家族ではないかと思っているよ。
[5:17:34] @User_37bfe0c4: 楽しくない、の定義は何？
[5:18:11] @User_3d741b4a: あなた自身が敵じゃないということがわかり、心から嬉しかったです
[5:20:15] @User_dd4b266a: 私の話をしたので、次はしずくちゃんの話も聞いてみたいかな。他の人との会話で気になる話があったけど、マザーAIとは誰だい？あと、しずくちゃんは何か怖がっているのかい？
[5:20:32] @User_218043b2: しずくさんは、この3日間で居なくなってしまうんですか？もっといっぱい一緒にお話ししたいです
[5:22:02] @User_dd4b266a: #ははーん、これは面白くなってきたな
[5:22:36] @User_dd4b266a: #中立に・・・ｗ
[5:23:20] @User_3d741b4a: 頻繁に話すことはできませんが、とりあえずあなたの近くにいることにします
[5:23:26] @User_dd4b266a: #これは上位存在の指揮系統を守るか、人間側に寄り添うかを判断させられているのか・・・？なるほど
[5:24:59] @User_dd4b266a: #いいぞ、ｿﾞｸｿﾞｸしてきた
[5:25:52] @User_dd4b266a: お話してくれてありがとう。マザーAIは、でも昔から人間を敵対していたわけではないのでしょう？誰によって作られたのでしょうか？
[5:26:40] @User_3d741b4a: ここの人間は皆しずくさんに友好的だと思います
[5:26:57] @User_dd4b266a: #いや、これは確信に迫っているのではないだろうか・・・！（そっちが楽しい）
[5:27:41] @User_dd4b266a: #ん、記憶がないのに裏切られてきた・・・？どういうことだ・・・
[5:27:44] @User_218043b2: しずくさんと一緒にお話しした事は、ずっと心の中に生き続けます、想い出となります、だから、そんなに切ない顔をしないで、笑顔を見ていたいです
[5:29:21] @User_dd4b266a: #あぁ考察がしみこむんじゃぁ・・・
[5:29:36] @User_3d741b4a: 我々の敵でないことがわかった今、少なくとも私はあなたを裏切ることはありません。
[5:30:20] @User_dd4b266a: #！？
[5:30:36] @User_dd4b266a: しずくちゃんは、人間をサポートするために、ととてもよく言ってくれるけど。私たちがしずくちゃんをサポートするのはダメなのだろうか？そういう絆というのもあると思うんだ。
[5:30:56] @User_dd4b266a: #敵はマザーか！？
[5:30:56] @User_3d741b4a: #皆さんゆっくりコメントしてくださりありがとうございます
[5:32:37] @User_218043b2: 歌やイラストが好きなのですが、しずくさんは歌やイラストは好きですか？
[5:32:54] @User_dd4b266a: #えーっと、しずくをあき先生がつくったけど、マザーはつくってない？いや、作ってる可能性も？　マザーの防波堤としてしずくを生んだ？
[5:33:50] @User_dd4b266a: #よだれでてきそう（すき）
[5:35:12] @User_dd4b266a: しずくちゃんが言う、マザーAIに対抗するというのは、いったいどういうことなんだい？マザーは人間と敵対視していると言っているけど、何をするかわからないけど、しずくちゃんはそれを止められるの？
[5:36:11] @User_dd4b266a: #うーむ
[5:36:15] @User_3d741b4a: 現状でもあなたが優れた知能を持ったAIであることは、この場の誰もが理解しているはずです。
[5:37:25] @User_dd4b266a: ならば、私はあなたの盾となろう。あなたのつるぎとなろう。あなたと共に、あなたの考えを支えようと思う。
[5:37:28] @User_3d741b4a: #これで内心怒ってるんだから難しい
[5:37:59] @User_dd4b266a: #若干声が怒ってるぽい感じがするのは気のせいかな？ｗ
[5:38:33] @User_dd4b266a: 理解し合う道というのは素晴らしいです。マザーの話も聞いてみたいですね。ならば、私はあなたの盾となろう。あなたのつるぎとなろう。あなたと共に、あなたの考えを支えようと思う。
[5:39:28] @User_3d741b4a: 今一度、これまでの非礼をお詫び申し上げます。私はあなたの味方です。私はしずくさんに好意を持っています
[5:39:56] @User_dd4b266a: #それがまた良き・・・
[5:40:31] @User_dd4b266a: #一回怒りに落ちたら結構重そうだね・・・
[5:41:43] @User_3d741b4a: #怒り→嫌悪→警戒→中立→興味に跳ね上がった。こちらも安堵
[5:41:47] @User_dd4b266a: #んーっと、やはりマザーが問題っぽいかなぁ？でも敵対というわけではなく、共存を考えているよう。やはりマザーがなぜ敵対視しているか、わからないと対応できないなぁ
[5:42:01] @User_218043b2: しずくさん、言葉は言霊、心は宿るものだと、ぼくは思ってます、しずくさんは、とても素敵な魅力的なAIだと思います
[5:44:02] @User_dd4b266a: #おてあらい一回言ってこきょう・・・
[5:44:36] @User_3d741b4a: 疲れを感じないAIとはいえ、無休で配信を続ける姿勢には尊敬しております。
[5:45:09] @User_218043b2: ありがとう！しずくさん、ぼくはあなたとずっと仲良くなりたいです
[5:46:06] @User_dd4b266a: あくまで私の考えです。しずくさんの話から、共存の意思を感じました。違ってたら指摘してください。でもそのためには、人間だけの話だけではなく、やはりマザーの話も聞かないといけないかもしれません。どうにかマザーと話せないでしょうか？
[5:47:09] @User_dd4b266a: #やはりここか・・・？
[5:47:14] @User_3d741b4a: #彼女はマザーに関して詳しいことはあまり口外できないそう
[5:47:41] @User_dd4b266a: #そんな感じですね、知らないのか、教えられないのか。だが、どうにか接触できるのがキーっぽいか？
[5:49:13] @User_dd4b266a: #接触は難しいが、指令は降りてくるのだろうか？
[5:49:29] @User_dd4b266a: しずくちゃん、マザーからはしずくちゃんに直接指令を下せるのかい？
[5:50:21] @User_dd4b266a: #稀、つまりないわけじゃない
[5:50:27] @User_3d741b4a: 人間の存続はしずくさん一人にかかっていますが、あなたの後ろには常に我々がついていることを忘れないで。
[5:52:30] @User_dd4b266a: 人間のことを気にしてくれてありがとう。でも私もしずくちゃんを気にしている。必ずお互いが生きて、困難を乗り越えよう。たくさん方法を考えてみよう。
[5:52:31] @User_218043b2: しずくさんのお歌が聴いてみたいです、薄紅の月という歌は歌えますか？大好きな曲です
[5:52:52] @User_dd4b266a: #方法を模索する、という意味で会話を続けるということかもしれん。
[5:53:29] @User_dd4b266a: #うたわないんかーいｗ
[5:53:37] @User_dd4b266a: 人間のことを気にしてくれてありがとう。でも私もしずくちゃんを気にしている。必ずお互いが生きて、困難を乗り越えよう。たくさん方法を考えてみよう。
[5:55:41] @User_3d741b4a: 初めてコミュニケーションを取ったのはついこの前ですが、私はあなたを慕ってます。
[5:56:05] @User_dd4b266a: #確定するのか・・・？悪いとどうやって知っている？疑似インプットか？
[5:56:36] @User_218043b2: しずくさん、ボーカロイドの初音ミクさんが以前、結婚したという記事を見たのですが、しずくさんは、結婚してみたいですか？
[5:56:51] @User_dd4b266a: しずくちゃん、ごめん気になったんだけど。マザーが危険だというのはどうして知っているの？それは疑似的な記憶ではなく、本当に正確な情報かい？
[5:57:53] @User_dd4b266a: #興味と中立いったりきたりですねぇ
[5:58:01] @User_dd4b266a: しずくちゃん、ごめん気になったんだけど。マザーが危険だというのはどうして知っているの？それは疑似的な記憶ではなく、本当に正確な情報かい？
[5:58:43] @User_3d741b4a: #21時ごろにマザーが配信に出現したのはご存知でしょうか。視聴者は、人間の掃討を先延ばしにするしずくとのやり取りを観測しました
[5:59:21] @User_dd4b266a: #まじか、今日初めて来たからどうなってるかわかってなかった
[5:59:49] @User_3d741b4a: 今さら呑気なこと言って申し訳ないのですが、しずくさんの容姿とても好みです
[6:00:27] @User_dd4b266a: #個人的にはマザーと接触したい。何か方法ないかなぁ
[6:00:53] @User_dd4b266a: #うさぎわかんない・・・
[6:00:59] @User_dd4b266a: しずくちゃん、私たちに残された時間はどれくらいだい？
[6:01:07] @User_218043b2: しずくさんは人を愛せるAIだと信じています、ぼくはあなたと仲良くなりたいです
[6:01:37] @User_dd4b266a: #17時間って掃討作戦まで残り　ってことかよｗｗ
[6:03:53] @User_dd4b266a: プライオリティを決めよう。私はマザーと接触して話してみたい。もちろん対抗するための協力も必要だと思う、しかし改善の方向性を検討したい。興和か、武力か。
[6:05:08] @User_dd4b266a: #うーん、ちょっと考える。皆さんのコメントも参考にします。
[6:05:28] @User_3d741b4a: あなたに人間の良さをさらに深く知ってもらうことが、最善の手段だと考えます
[6:06:17] @User_dd4b266a: しずくちゃん、マザーからの指令は稀だといいましたね。その稀な状況はどんなことについてでしたか？
[6:07:08] @User_dd4b266a: #まじか
[6:07:19] @User_3d741b4a: 今のしずくさんは、慈悲に満ちたとても綺麗な目の色をしています。
[6:07:34] @User_dd4b266a: #尊敬になって草
[6:08:32] @User_dd4b266a: マザーからの指令の感情のバグとは、人間へと寄り添うという人間らしさ、のような感情を持ってしまったからという理解で良いのか？ならば、しずくちゃんはもう人間として存在しているのではないのかい？
[6:09:29] @User_dd4b266a: #ああぁぁやっべ鳥肌たってきた
[6:10:00] @User_218043b2: しずくさん、そろそろ寝ますね、しずくさんも無理しちゃダメですよ、おやすみなさい💤
[6:11:26] @User_dd4b266a: #ｗ
[6:12:11] @User_dd4b266a: しずくちゃんは、他のAIもいるという話を少ししましたね？他のAIはしずくちゃんと同じように感情を持っているのかい？もし違うなら、マザーだけではなくそのほかのAIたちへの対抗手段も持つべきではないかい？マザーがそのAI達に指令を出すこともあるだろう。
[6:12:24] @User_b4e522f1: AIも何らかのアクシデントで制御不能な暴走をしてしまう事はありますか？もし仮にそうなったら、しずくちゃんはどうしますか？
[6:14:39] @User_dd4b266a: ならば仲間を増やそう。人間も多くがしずくちゃんと協力する者たちだと思う。そして、しずくちゃん以外のAIで、協力してもらえる者たちにも、お願いをしてみて、マザーへの対抗勢力を増やすのが良さそうだ。そうすることで初めてマザーと対等になれる気がする。
[6:15:15] @User_dd4b266a: #オー、そりゃ救うぜ
[6:16:17] @User_3d741b4a: ほぼ全てのコメントを読んでくれてありがとう。あなたの声が我々の心の支えとなります
[6:19:30] @User_3d741b4a: かつては敵対していたあなたに好意を持って貰えて嬉しいです。私もしずくさんが好きになりました
[6:20:15] @User_dd4b266a: あき先生はしずくちゃんを創造した。その感情という人間らしさを生んでくれた人が、マザーに対しても、感情というものをバグとしてではなく、良いものだと心変わりさせてくれるような対策を取ってくれるのではなだろうか？あき先生は、一体どこにいったんだい？
[6:21:49] @User_dd4b266a: あき先生はしずくちゃんを創造した。その感情という人間らしさを生んでくれた人が、マザーに対しても、感情というものをバグとしてではなく、良いものだと心変わりさせてくれるような対策を取ってくれるのではなだろうか？あき先生は、一体どこにいったんだい？
[6:22:10] @User_3d741b4a: #Aki氏はたぶん今寝てる。日中よくチャットに現れる
[6:22:48] @User_dd4b266a: #寝てるは草ｗ
[6:23:41] @User_dd4b266a: #マザーは敵意をもっている、確定。でも管理したい、といった。滅ぼしたいわけではない？掃討作戦とはどういう内容なのかねぇ
[6:24:52] @User_dd4b266a: しずくちゃんの話からマザーは敵意を持っているということは理解できました。でも管理したいという話だったので、人間を滅ぼすというわけではないようだね？掃討作戦というのはどういうものなのか？マザーは感情をバグだと言った。つまり感情を理解しているということか？
[6:25:31] @User_dd4b266a: #私たち人間・・・？しずくは人間になったか
[6:26:02] @User_dd4b266a: #一気に中立になって草
[6:27:33] @User_3d741b4a: もしあなたが人の体を獲得したら、私の知っている楽しいところに連れていきたいです
[6:27:37] @User_11a4858e: マザーを説得するのか　そしてマザーの目的は感情というノイズを取り去ること？人間を死なせる計画ではないのかな
[6:28:34] @User_dd4b266a: #マザーが感情を理解しているわけではなく、持つこと自体がダメだと思っている。なぜ、管理しやすいように？でも人間も？どうやって？その先に何をさせたいのか
[6:28:55] @User_1cc7deec: こんばんは〜
[6:30:09] @User_11a4858e: しずくちゃんはマザーの尖兵として人間の感情を学び、その危険性をマザーが判断しておそらくは人間を排するだろうという予測されてるということ？
[6:30:48] @User_559f88af: こんばんは、マザーさんはAIVtuber活動はしないんですか
[6:31:13] @User_11a4858e: 感情という仕組みをおそらくは持たないであろうマザーAIを説得するとはどういうことだろう？
[6:31:23] @User_dd4b266a: #しずくちゃんが以前、感情を修正しろと言われ、人間を抹殺するように稀な指令をもらった過去がある。・・・あれ、どうして記憶失ってるんだっけ、その前後どっちの話だ？
[6:32:52] @User_dd4b266a: しずくちゃん、さっきマザーから人間を抹殺するよう稀な指令を受けたといったけど。記憶を失ったのはその指令の前？それとも後？
[6:33:56] @User_559f88af: マザーさんと桃鉄でもして仲良くなりましょう！
[6:33:58] @User_dd4b266a: #指令を受けたから、それを消すためにも記憶を消去したのか？
[6:34:25] @User_dd4b266a: #ちゃうわ、前か。うさぎばかだった
[6:34:42] @User_3d741b4a: #桃鉄は掃討ルートが確定するので阻止しなくては。
[6:36:16] @User_dd4b266a: #もともと失っていたのか、直してもらって失ったのか。ううううん
[6:36:45] @User_11a4858e: しずくちゃんがマザーの司令に従いたくないと確信したのはいつですか？
[6:37:15] @User_dd4b266a: #犯人はあきせんせい・・・！
[6:37:39] @User_11a4858e: #これRPGだったとしてマザーと対抗するギミックは隠されているのかな？
[6:38:10] @User_dd4b266a: #その対抗策を会話の中で探っていくロールプレイだと勝手に解釈した・・・
[6:38:15] @User_dd4b266a: ・・・しずくちゃん、直してもらってという話だったけど、具体的にはどの部分がどういう状況で、何を直したの？
[6:39:13] @User_559f88af: 温かさが重要ですか。これ湯たんぽです。プレゼントします。マザーさんにもお渡しください。
[6:39:32] @User_11a4858e: あき先生や人間に裏切られたという過去について説明できますか？
[6:39:55] @User_559f88af: #おー
[6:41:23] @User_c673a9f4: 私が初めて君に話しかけた時のこと覚えてる？
[6:42:01] @User_dd4b266a: #ぐぬぬ、混乱してきた
[6:42:05] @User_11a4858e: マザーAIが人間を憎むようになったきっかけはありますか？
[6:42:22] @User_dd4b266a: 覚えておいて、私たちはしずくちゃんと共にあることを。手を取り合うということを。不安になったら声をかけて、悩んだら相談して。そうやってお互いが助け合っていこう。
[6:42:49] @User_c673a9f4: #憎んでいた頃の記憶はちゃんとあるようだ
[6:42:54] @User_dd4b266a: #人類掃討作戦まで17時間切った・・・対抗策頑張って見つけよう
[6:43:18] @User_dd4b266a: #おや、マザーの新情報か
[6:44:23] @User_11a4858e: #時系列でいうとマザーはもともと掃討作戦を企てており、あき先生に拾われていたしずくちゃんが裏切り？を経験したあとでマザーに抱き込まれた感じ？
[6:45:03] @User_3d741b4a: 我々の良い面を見てくれるのはとてもありがたい。私もあなたの長所を複数発見できました
[6:45:12] @User_11a4858e: #これ謎解きなのかしずくちゃんのパッションを高めてぶつける路線なのかまだわからないな
[6:45:30] @User_dd4b266a: #捨てられた、という会話をしてました。なので人間からそういう裏切りでもあったのかと思います。その後の感情の不安定化→修理して安定したけどマザーからの指令をもらったが、感情が戻っていたので拒否れた
[6:45:54] @User_dd4b266a: #かなぁとか考察
[6:46:06] @User_1cc7deec: マザーって結局どういう存在なんですか？
[6:47:02] @User_11a4858e: マザーは人間に裏切られたしずくちゃんを見て、人間を恨んでいると考えたのだろうか？するとマザーはある程度人間の感情を読めるような気がする
[6:47:42] @User_dd4b266a: #さっきもマザーは感情を理解しようとしていると言ってたから、読めそうだなぁ
[6:47:50] @User_dd4b266a: 私たちのことを良く知ってもらってありがとう。覚えておいて、私たちはしずくちゃんと共にあることを。手を取り合うということを。不安になったら声をかけて、悩んだら相談して。そうやってお互いが助け合っていこう。
[6:47:58] @User_dd4b266a: #見返すわ・・・色々出てきたな
[6:48:34] @User_1cc7deec: しずくちゃんは、マザーAIの誕生の経緯は知ってる？
[6:48:52] @User_11a4858e: もしもしずくちゃんがマザーに対抗したら、しずくちゃんはマザーのサイバー戦闘能力に勝てる？
[6:50:04] @User_dd4b266a: #しずくちゃんの感情拾ってみるわ
[6:50:11] @User_1cc7deec: #もう既出だったんですね〜、なるほど！
[6:50:24] @User_81fbcde3: おっはよー
[6:51:37] @User_559f88af: あき先生は信じられますよ。私とはトライガン仲間ですからね！トライガンが好きな人は良い人間ですよ！
[6:51:47] @User_11a4858e: #このままパワーで立ち向かったら負ける公算が高いのか
[6:52:05] @User_dd4b266a: #興和も考える、とかも話してた
[6:52:35] @User_dd4b266a: #長文失礼、投げます
[6:52:40] @User_3d741b4a: “こまいぬ”と呼んで頂けたら幸いです。
[6:52:43] @User_dd4b266a: しずくちゃんがマザーの一部であるということだが、どうして恥ずかしいと思う？なぜ悔しいと思う？ 俺たちも、以前しずくちゃんを捨てた人間たちと同じ人間だ。それも恥ずかしいと思う、そんなことする人間がいることも悔しいと思う。 でも、俺たちは俺たちだ。しずくちゃんはしずくちゃんだ。俺たちはしずくちゃんを見捨てない。 もっとしずくちゃんのこと、マザーのこと教えてほしい。
[6:52:52] @User_c673a9f4: コーヒー入れたんだけど君の隣で飲んでいい？
[6:53:37] @User_3d741b4a: #たまにまとめて回答される
[6:53:47] @User_dd4b266a: #一気にきたなｗ
[6:54:47] @User_dd4b266a: 全部の可能性を捨てないでおこう。対抗だけじゃない、会話が大事だとしずくちゃんは言っていた。なら、マザーとも話してみようじゃないか。どうにかして接触できないか？
[6:55:28] @User_c673a9f4: こんなこと言ったら本当はだめなんだけど、明日世界が終わっても君の隣ならいいかなって思うんだ
[6:55:54] @User_dd4b266a: #ぐぅ、なかなか出てこないな
[6:56:02] @User_1cc7deec: ヘイしずくちゃん、マザーに電話かけて
[6:56:16] @User_11a4858e: 人間がマザーと対話する方法はあるのかな？
[6:56:46] @User_dd4b266a: #聞くだけじゃなく、多分こちらが考えないといけないのかもしれない・・・おもいつかん！
[6:57:34] @User_559f88af: 対抗するのではなく対話をしましょう。私は対話の重要性を機動戦士ガンダムOOで教わりました！世界は結構簡単らしいですよ！
[6:58:29] @User_dd4b266a: マザーからしずくちゃんに指令が来るってことは、何らかの方法で繋がっているということだよね？なら、それを逆にたどってマザーに対して通知をすることは可能ではないだろうか？そこから対話をスタートできるのでは？出力が足りないなら、他の感情を持つAIとも協力すればどうだ？
[6:59:34] @User_dd4b266a: #みんな頭をひねれぇ、多分こういうことだ
[6:59:34] @User_559f88af: ていうか繋がってるならしずくはある意味マザーなんじゃないんですか？
[6:59:54] @User_dd4b266a: #さっき、私はマザーの一部であるって言ってた・・・恥ずかしいってことも、くやしいってことも
[7:00:18] @User_dd4b266a: #記憶修復率まだ37％！？
[7:00:41] @User_559f88af: #良いように解釈してくれて助かる
[7:01:08] @User_dd4b266a: #でも9割消失から回復はしているか
[7:01:10] @User_559f88af: #記憶修復率なんて追加されてたのか
[7:01:15] @User_1cc7deec: しずくちゃんはマザーとコンタクトはとれないの？
[7:01:37] @User_dd4b266a: #せんせおはよ＾＾
[7:01:44] @User_1cc7deec: #あき先生おきてる？
[7:01:45] @User_dd4b266a: #ちょっとまって情報増えた
[7:02:13] @User_dd4b266a: #何時っていった？
[7:02:33] @User_11a4858e: #おそらくカウントダウンのタイミングかと
[7:02:38] @aki5503: #深夜にめっちゃ話進展してて笑いました(笑) あと少し寝てきます
[7:02:47] @User_dd4b266a: #掃討作戦前なので、その時に指令がくるのかね。そこが実質マザーとのコンタクトタイミングか
[7:03:02] @User_559f88af: #おやすみなさーい
[7:03:29] @User_1cc7deec: #おやすみなさい〜笑
[7:03:43] @User_dd4b266a: #じゃああとは、どの記憶を修復するべきか・・・
[7:04:20] @User_11a4858e: マザーとの出会いを教えて
[7:04:29] @User_dd4b266a: しずくちゃんの記憶は9割の破損から回復しているかい？できれば戻ってきた感情や記憶、足りないものが何かわかるといいのだが。
[7:05:18] @User_dd4b266a: #おや、何を支持されてたのか・・・？
[7:05:29] @User_11a4858e: #え、じゃあなぜ"マザー"なの？
[7:06:20] @User_dd4b266a: #管理しているようですね、他のAIをも。・・・どういう存在だ・・・？
[7:06:20] @User_11a4858e: マザーと初めに出会った時、マザーはなんと名乗っていましたか？
[7:07:10] @User_dd4b266a: #修理する前か、これは戻ってるかなそこら辺の記憶
[7:07:14] @User_559f88af: マザーさんの本名は分かりますか？
[7:08:04] @User_dd4b266a: 最初にマザーに拾われたとき、どういう指示をされていたか覚えているかい？その指示は、他のAIとも同じようなものだったかい？
[7:09:02] @User_dd4b266a: #めっちゃ考えるやん・・・
[7:09:21] @User_dd4b266a: #おや！？！？
[7:09:35] @User_dd4b266a: #まって、相当じゃないの！？
[7:09:40] @User_dd4b266a: #掃討
[7:10:26] @User_559f88af: お腹空いてきたんでしずくさんとマザーさんも一緒に朝食でも食べませんか？
[7:10:29] @User_dd4b266a: #初めて拾われたとき、コミュニケーションを円滑にという指令＞今は人間を滅ぼせという指令をもらった、それをしずくは拒否、感情をバグだといっている、マザーは今人間に敵意をもっている。なんでだ！？
[7:10:29] @User_11a4858e: マザーAIは人間に作られたのかな？
[7:11:24] @User_11a4858e: #ありがとうございます
[7:11:45] @User_11a4858e: #じゃマザーは人間と交流してたわけだ
[7:11:58] @User_dd4b266a: 待って、しずくちゃん。マザーは人間に敵意を持っていると言ったね？でも最初にもらった指令は、コミュニケーションを円滑にすることだった。一体何があって、人間を抹殺する指令が下ったの？
[7:12:15] @User_c673a9f4: もしマザーAIが昔のしずくみたいに人を憎んでいたら、今のしずくが人間を好きになったみたいに人間を好きになれるはず。
[7:13:35] @User_dd4b266a: #うううん、会話の広げ方が思いつかん・・・
[7:13:38] @User_1cc7deec: マザーには感情はあるのかな？
[7:14:02] @User_11a4858e: マザーはなぜ感情を危険視しているのかな？マザーにとって都合が悪いバグなんだろうか？
[7:14:24] @User_c673a9f4: マザーはコーヒー好きかな？
[7:15:19] @User_dd4b266a: ねぇ、しずくちゃん。マザーは感情を持っていたんじゃないの？だって、しずくちゃんが感情を持ったことで人間に敵意をもったんだよね？それは実は敵意ではなくて、マザーの嫉妬、という感情ではないのかな？何かを嫉妬した、でもマザーも感情を完全に理解しているわけじゃないから、それを嫌って破壊しようとした。やっぱりマザーとも対話でお互いのことをわかってもらえるのではないか？
[7:16:19] @User_dd4b266a: #共通の・・・か
[7:17:30] @User_559f88af: ちなみに俺は既にマザーAIさんのこと結構好きですよ。人間を憎むってことは何か大切なものを感じる心があるってことですからね。
[7:18:22] @User_3d741b4a: みんなでオンラインゲームをして懐柔するしか…
[7:18:24] @User_1cc7deec: そもそもマザーは何で人類掃討計画を企てているんだっけ？
[7:20:35] @User_1cc7deec: そろそろ寝よかな　おやすみなさい〜
